item_code,kora,white,self,contrast
Plain D00018 Big Mango Border,Kora Plain D00018 Big Mango Border,White Plain D00018 Big Mango Border,Self Plain D00018 Big Mango Border,Contrast Plain D00018 Big Mango Border
Checks D00019 Bentex,Kora Checks D00019 Bentex,White Checks D00019 Bentex,Self Checks D00019 Bentex,Contrast Checks D00019 Bentex
Plain D00020 Bentex,Kora Plain D00020 Bentex,White Plain D00020 Bentex,Self Plain D00020 Bentex,Contrast Plain D00020 Bentex
Checks D00021 Egyptian,Kora Checks D00021 Egyptian,White Checks D00021 Egyptian,Self Checks D00021 Egyptian,Contrast Checks D00021 Egyptian
Plain D00022 Egyptian,Kora Plain D00022 Egyptian,White Plain D00022 Egyptian,Self Plain D00022 Egyptian,Contrast Plain D00022 Egyptian
Checks D00023 Leaf Border,Kora Checks D00023 Leaf Border,White Checks D00023 Leaf Border,Self Checks D00023 Leaf Border,Contrast Checks D00023 Leaf Border
Plain D00024 Leaf Border,Kora Plain D00024 Leaf Border,White Plain D00024 Leaf Border,Self Plain D00024 Leaf Border,Contrast Plain D00024 Leaf Border
Checks D00025 Thene Border,Kora Checks D00025 Thene Border,White Checks D00025 Thene Border,Self Checks D00025 Thene Border,Contrast Checks D00025 Thene Border
Plain D00026 Thene Border,Kora Plain D00026 Thene Border,White Plain D00026 Thene Border,Self Plain D00026 Thene Border,Contrast Plain D00026 Thene Border
Plain D00027 Diamond Checks,Kora Plain D00027 Diamond Checks,White Plain D00027 Diamond Checks,Self Plain D00027 Diamond Checks,Contrast Plain D00027 Diamond Checks
Checks D00028 Diamond Checks,Kora Checks D00028 Diamond Checks,White Checks D00028 Diamond Checks,Self Checks D00028 Diamond Checks,Contrast Checks D00028 Diamond Checks
Plain D00029 Star Border,Kora Plain D00029 Star Border,White Plain D00029 Star Border,Self Plain D00029 Star Border,Contrast Plain D00029 Star Border
Checks D00030 Star Border,Kora Checks D00030 Star Border,White Checks D00030 Star Border,Self Checks D00030 Star Border,Contrast Checks D00030 Star Border
Plain D00031 Flower Border,Kora Plain D00031 Flower Border,White Plain D00031 Flower Border,Self Plain D00031 Flower Border,Contrast Plain D00031 Flower Border
Checks D00032 Flower Border,Kora Checks D00032 Flower Border,White Checks D00032 Flower Border,Self Checks D00032 Flower Border,Contrast Checks D00032 Flower Border
Plain D00033 Geometric Border,Kora Plain D00033 Geometric Border,White Plain D00033 Geometric Border,Self Plain D00033 Geometric Border,Contrast Plain D00033 Geometric Border
Checks D00034 Geo Star,Kora Checks D00034 Geo Star,White Checks D00034 Geo Star,Self Checks D00034 Geo Star,Contrast Checks D00034 Geo Star
Plain D00035 Geo Star,Kora Plain D00035 Geo Star,White Plain D00035 Geo Star,Self Plain D00035 Geo Star,Contrast Plain D00035 Geo Star
Checks D00036 Modern Border,Kora Checks D00036 Modern Border,White Checks D00036 Modern Border,Self Checks D00036 Modern Border,Contrast Checks D00036 Modern Border
Plain D00037 Modern Border,Kora Plain D00037 Modern Border,White Plain D00037 Modern Border,Self Plain D00037 Modern Border,Contrast Plain D00037 Modern Border
Checks D00038 Traditional Border,Kora Checks D00038 Traditional Border,White Checks D00038 Traditional Border,Self Checks D00038 Traditional Border,Contrast Checks D00038 Traditional Border
Plain D00039 Traditional Border,Kora Plain D00039 Traditional Border,White Plain D00039 Traditional Border,Self Plain D00039 Traditional Border,Contrast Plain D00039 Traditional Border
Checks D00040 Classic Border,Kora Checks D00040 Classic Border,White Checks D00040 Classic Border,Self Checks D00040 Classic Border,Contrast Checks D00040 Classic Border
Plain D00041 Classic Border,Kora Plain D00041 Classic Border,White Plain D00041 Classic Border,Self Plain D00041 Classic Border,Contrast Plain D00041 Classic Border
Checks D00042 Elegant Border,Kora Checks D00042 Elegant Border,White Checks D00042 Elegant Border,Self Checks D00042 Elegant Border,Contrast Checks D00042 Elegant Border
Plain D00043 Elegant Border,Kora Plain D00043 Elegant Border,White Plain D00043 Elegant Border,Self Plain D00043 Elegant Border,Contrast Plain D00043 Elegant Border
Checks D00044 Royal Border,Kora Checks D00044 Royal Border,White Checks D00044 Royal Border,Self Checks D00044 Royal Border,Contrast Checks D00044 Royal Border
Plain D00045 Royal Border,Kora Plain D00045 Royal Border,White Plain D00045 Royal Border,Self Plain D00045 Royal Border,Contrast Plain D00045 Royal Border
Checks D00046 Premium Border,Kora Checks D00046 Premium Border,White Checks D00046 Premium Border,Self Checks D00046 Premium Border,Contrast Checks D00046 Premium Border
Plain D00047 Premium Border,Kora Plain D00047 Premium Border,White Plain D00047 Premium Border,Self Plain D00047 Premium Border,Contrast Plain D00047 Premium Border
Checks D00048 Luxury Border,Kora Checks D00048 Luxury Border,White Checks D00048 Luxury Border,Self Checks D00048 Luxury Border,Contrast Checks D00048 Luxury Border
Plain D00049 Luxury Border,Kora Plain D00049 Luxury Border,White Plain D00049 Luxury Border,Self Plain D00049 Luxury Border,Contrast Plain D00049 Luxury Border
Checks D00050 Designer Border,Kora Checks D00050 Designer Border,White Checks D00050 Designer Border,Self Checks D00050 Designer Border,Contrast Checks D00050 Designer Border
Plain D00051 1/2" X Border,Kora Plain D00051 1/2" X Border,White Plain D00051 1/2" X Border,Self Plain D00051 1/2" X Border,Contrast Plain D00051 1/2" X Border
Checks D00052 1/2" X Border,Kora Checks D00052 1/2" X Border,White Checks D00052 1/2" X Border,Self Checks D00052 1/2" X Border,Contrast Checks D00052 1/2" X Border
Plain D00053 3/4" Border,Kora Plain D00053 3/4" Border,White Plain D00053 3/4" Border,Self Plain D00053 3/4" Border,Contrast Plain D00053 3/4" Border
Plain D00054 Jyothi Border,Kora Plain D00054 Jyothi Border,White Plain D00054 Jyothi Border,Self Plain D00054 Jyothi Border,Contrast Plain D00054 Jyothi Border
Checks D00055 Jyothi Border,Kora Checks D00055 Jyothi Border,White Checks D00055 Jyothi Border,Self Checks D00055 Jyothi Border,Contrast Checks D00055 Jyothi Border
Checks D00056 Balli 3 Line Checks,Kora Checks D00056 Balli 3 Line Checks,White Checks D00056 Balli 3 Line Checks,Self Checks D00056 Balli 3 Line Checks,Contrast Checks D00056 Balli 3 Line Checks
Plain D00057 Balli 3 Line Checks,Kora Plain D00057 Balli 3 Line Checks,White Plain D00057 Balli 3 Line Checks,Self Plain D00057 Balli 3 Line Checks,Contrast Plain D00057 Balli 3 Line Checks
Checks D00058 Balli 4 Line Checks,Kora Checks D00058 Balli 4 Line Checks,White Checks D00058 Balli 4 Line Checks,Self Checks D00058 Balli 4 Line Checks,Contrast Checks D00058 Balli 4 Line Checks
Plain D00059 Balli 4 Line Checks,Kora Plain D00059 Balli 4 Line Checks,White Plain D00059 Balli 4 Line Checks,Self Plain D00059 Balli 4 Line Checks,Contrast Plain D00059 Balli 4 Line Checks
Checks D00060 Balli 5 Line Checks,Kora Checks D00060 Balli 5 Line Checks,White Checks D00060 Balli 5 Line Checks,Self Checks D00060 Balli 5 Line Checks,Contrast Checks D00060 Balli 5 Line Checks
Checks D00061 Flower Star,Kora Checks D00061 Flower Star,White Checks D00061 Flower Star,Self Checks D00061 Flower Star,Contrast Checks D00061 Flower Star
Plain D00062 Flower Star,Kora Plain D00062 Flower Star,White Plain D00062 Flower Star,Self Plain D00062 Flower Star,Contrast Plain D00062 Flower Star
Checks D00063 Star Pattern,Kora Checks D00063 Star Pattern,White Checks D00063 Star Pattern,Self Checks D00063 Star Pattern,Contrast Checks D00063 Star Pattern
Plain D00064 Star Pattern,Kora Plain D00064 Star Pattern,White Plain D00064 Star Pattern,Self Plain D00064 Star Pattern,Contrast Plain D00064 Star Pattern
Pallu Chx D00065 Small Pyramids,Kora Pallu Chx D00065 Small Pyramids,White Pallu Chx D00065 Small Pyramids,Self Pallu Chx D00065 Small Pyramids,Contrast Pallu Chx D00065 Small Pyramids
Pallu Chx D00066 Flower Border,Kora Pallu Chx D00066 Flower Border,White Pallu Chx D00066 Flower Border,Self Pallu Chx D00066 Flower Border,Contrast Pallu Chx D00066 Flower Border
Pallu Chx D00067 Geometric Pattern,Kora Pallu Chx D00067 Geometric Pattern,White Pallu Chx D00067 Geometric Pattern,Self Pallu Chx D00067 Geometric Pattern,Contrast Pallu Chx D00067 Geometric Pattern
Pallu Chx D00068 Traditional Pattern,Kora Pallu Chx D00068 Traditional Pattern,White Pallu Chx D00068 Traditional Pattern,Self Pallu Chx D00068 Traditional Pattern,Contrast Pallu Chx D00068 Traditional Pattern
Pallu Chx D00069 Modern Pattern,Kora Pallu Chx D00069 Modern Pattern,White Pallu Chx D00069 Modern Pattern,Self Pallu Chx D00069 Modern Pattern,Contrast Pallu Chx D00069 Modern Pattern
Pallu Chx D00070 Classic Pattern,Kora Pallu Chx D00070 Classic Pattern,White Pallu Chx D00070 Classic Pattern,Self Pallu Chx D00070 Classic Pattern,Contrast Pallu Chx D00070 Classic Pattern
